"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 20:33:21 CET 2022","Mon Nov 21 20:33:21 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_for_emp_jun_dev_exists[Chrome]",""
"passed","Mon Nov 21 20:32:17 CET 2022","Mon Nov 21 20:32:18 CET 2022","1447","Tests.Navigation","test_nav_e_learning","Test_Nav_E_Learning","","","test_nav_to_e_learning_unique[Chrome]",""
"passed","Mon Nov 21 20:33:31 CET 2022","Mon Nov 21 20:33:33 CET 2022","2427","Tests.Unit","test_trainings_softskill_units","Test_Nav_Trainings_Softskill","","","test_btn_competence_improvement_trainings_exists[Chrome]",""
"passed","Mon Nov 21 20:33:24 CET 2022","Mon Nov 21 20:33:25 CET 2022","567","Tests.Unit","test_trainings_projectmanagement_units","Test_Trainings_Projectmanagement_Units","","","test_btn_projectmanagement_traditional_exists[Chrome]",""
"passed","Mon Nov 21 20:33:00 CET 2022","Mon Nov 21 20:33:02 CET 2022","2086","Tests.Unit","test_it_courses_units","Test_It_Courses","","","test_it_courses_title[Chrome]",""
"passed","Mon Nov 21 20:32:20 CET 2022","Mon Nov 21 20:32:27 CET 2022","6909","Tests.Navigation","test_nav_mainpage_navbar","Test_Nav_MainPage_Navbar","","","test_nav_to_course_schedules[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","34","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_soft_exists[Chrome]",""
"passed","Mon Nov 21 20:33:16 CET 2022","Mon Nov 21 20:33:16 CET 2022","68","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_open_training_schedule_exists[Chrome]",""
"passed","Mon Nov 21 20:31:57 CET 2022","Mon Nov 21 20:32:00 CET 2022","2976","Tests.Functional","test_login","Test_login","","","test_login[Chrome]",""
"passed","Mon Nov 21 20:33:12 CET 2022","Mon Nov 21 20:33:13 CET 2022","618","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_nav_bar_discounts_exists[Chrome]",""
"passed","Mon Nov 21 20:33:25 CET 2022","Mon Nov 21 20:33:25 CET 2022","572","Tests.Unit","test_trainings_projectmanagement_units","Test_Trainings_Projectmanagement_Units","","","test_btn_projectmanagement_agile_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","313","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_office_exists[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","34","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_comp_man_sfc_exists[Chrome]",""
"passed","Mon Nov 21 20:32:13 CET 2022","Mon Nov 21 20:32:15 CET 2022","2333","Tests.Navigation","test_nav_e_learning","Test_Nav_E_Learning","","","test_nav_to_e_learning_official[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_creating_value_agile_exists[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_for_emp_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","38","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_java_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_leader_courses_itil_exists[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_apply_exists[Chrome]",""
"passed","Mon Nov 21 20:33:27 CET 2022","Mon Nov 21 20:33:30 CET 2022","2207","Tests.Unit","test_trainings_softskill_units","Test_Nav_Trainings_Softskill","","","test_get_trainings_softskill_title[Chrome]",""
"passed","Mon Nov 21 20:33:41 CET 2022","Mon Nov 21 20:33:41 CET 2022","472","Tests.Unit","test_trainings_trainings_units","Test_Nav_Trainings_Trainings","","","test_btn_trainings_open_trainings_schedule_exists[Chrome]",""
"passed","Mon Nov 21 20:33:16 CET 2022","Mon Nov 21 20:33:16 CET 2022","39","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_agile_pm_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","43","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_vmware_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","34","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_office_da_exists[Chrome]",""
"passed","Mon Nov 21 20:33:14 CET 2022","Mon Nov 21 20:33:15 CET 2022","822","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_nav_bar_login_exists[Chrome]",""
"passed","Mon Nov 21 20:32:43 CET 2022","Mon Nov 21 20:32:44 CET 2022","1002","Tests.Navigation","test_nav_trainings_softskill","Test_Nav_Trainings_Softskill","","","test_nav_to_coaching[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","36","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_cisco_exists[Chrome]",""
"passed","Mon Nov 21 20:33:30 CET 2022","Mon Nov 21 20:33:30 CET 2022","645","Tests.Unit","test_trainings_softskill_units","Test_Nav_Trainings_Softskill","","","test_btn_leader_trainings_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","36","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_oracle_exists[Chrome]",""
"passed","Mon Nov 21 20:33:30 CET 2022","Mon Nov 21 20:33:31 CET 2022","621","Tests.Unit","test_trainings_softskill_units","Test_Nav_Trainings_Softskill","","","test_btn_salesforce_trainings_exists[Chrome]",""
"passed","Mon Nov 21 20:32:53 CET 2022","Mon Nov 21 20:32:55 CET 2022","1790","Tests.Unit","test_e_learning_units","Test_Nav_E_Learning","","","test_get_e_learning_page_title[Chrome]",""
